Evaluating User Interfaces 2: Empirical;Key concerns: validity and reliability. What are those and why those?;-
Evaluating User Interfaces 2: Empirical;What are the constituents of an experiment;-
Evaluating User Interfaces 2: Empirical;What’s the role of the hypothesis and how is it formulated?;-
Evaluating User Interfaces 2: Empirical;What’s independent and dependent variables?;-
Evaluating User Interfaces 2: Empirical;How are dependent variables selected?;-
Evaluating User Interfaces 2: Empirical;How are participants chosen?;-
Evaluating User Interfaces 2: Empirical;How are results from experiments analysed?;-
Evaluating User Interfaces 2: Empirical;What is the difference between qualitative and quantitative data?;-
Evaluating User Interfaces 2: Empirical;What is a field study and how is it different from an experiment?;-
JavaScript for Desktop Apps;How JavaScript can be used to develop desktop applications.;-
JavaScript for Desktop Apps;What the difference is between running JavaScript in the browser and with Electron;-
JavaScript for Desktop Apps;How the interplay is between node.js and electron in the creation of desktop apps with JavaScript;-
Understanding People 1: Perception, Cognition and Motor Skills;What does it mean to be human-centered?;-
Understanding People 1: Perception, Cognition and Motor Skills;What is perception and why is it relevant for HCI?;-
Understanding People 1: Perception, Cognition and Motor Skills;What the human sensor system consists of;-
Understanding People 1: Perception, Cognition and Motor Skills;What are key perceptual tasks and their mechanisms?;-
Understanding People 1: Perception, Cognition and Motor Skills;What’s involved in visual perception?;-
Understanding People 1: Perception, Cognition and Motor Skills;How does the basics of the eye work?;-
Understanding People 1: Perception, Cognition and Motor Skills;What gestalt principles are and how they are relevant for HCI;-
Understanding People 1: Perception, Cognition and Motor Skills;What are the three central motor tasks?;-
Understanding People 1: Perception, Cognition and Motor Skills;What is Fitts’ law and what can it be used for?;-
Understanding People 1: Perception, Cognition and Motor Skills;What are the different reaction types?;-
Understanding People 1: Perception, Cognition and Motor Skills;What does the Ratcliff model explain?;-
Understanding People 1: Perception, Cognition and Motor Skills;What does the Hick-Hyman law express?;-
Understanding People 1: Perception, Cognition and Motor Skills;What are the elementary cognitive abilities?;-
Understanding People 1: Perception, Cognition and Motor Skills;What is cognitive control?;-
Understanding People 1: Perception, Cognition and Motor Skills;How to measure cognitive workload?;-
Understanding People 1: Perception, Cognition and Motor Skills;What types of memory do we have and how do they differ?;-
Understanding People 1: Perception, Cognition and Motor Skills;What governs learning over time?;-
Understanding People 1: Perception, Cognition and Motor Skills;What’s the two systems of decision making?;-
Understanding People 1: Perception, Cognition and Motor Skills;What’s a mental model?;-
Understanding People 1: Perception, Cognition and Motor Skills;How can insights about cognition be applied to HCI?;-
Understanding People 1: Perception, Cognition and Motor Skills;What it means to view the human as an information processor;-
Understanding People 1: Perception, Cognition and Motor Skills;What the model human processor is, what it consists of and what it can be used for;-
Understanding People 1: Perception, Cognition and Motor Skills;What the performance of our perceptual, cognitive and motor system is according to MHP;-
Understanding People 1: Perception, Cognition and Motor Skills;What the limitations of MHP are?;-
Understanding People 1: Perception, Cognition and Motor Skills;How are needs and motivations relevant to HCI?;-
Understanding People 1: Perception, Cognition and Motor Skills;What is self-determination theory, its assumptions and basic ideas?;-
Understanding People 2: Activity Theory;What activity theory is;-
Understanding People 2: Activity Theory;Why it was brought into HCI;-
Understanding People 2: Activity Theory;What activity theory provides means to explain;-
Understanding People 2: Activity Theory;What the fundamental principles of activity theory are;-
Understanding People 2: Activity Theory;Be able to explain the hierarchical structure of activity;-
Understanding People 2: Activity Theory;Be able to explain the concept of mediation;-
Understanding People 2: Activity Theory;Be able to explain the principles of internalisation and externalisation;-
Understanding People 2: Activity Theory;That all development according to activity is driven by contradictions;-
Understanding People 2: Activity Theory;Explain what a contradiction is;-
Universal Usability;What universal usability is.;-
Universal Usability;What broad categories of disabilities there are.;-
Universal Usability;Why we have to consider disabilities when designing user interfaces.;-
Universal Usability;What internationalization and localization of software is.;-
Accessibility;What accessiblity is;-
Accessibility;How to write accessible HTML;-
Accessibility;What WAI-ARIA is and when it is used;-
Accessibility;How internationalization can be implemented on the Web (in broad strokes).;-
Data Visualization;What is data visualization?;-
Data Visualization;Examples of historical visualization techniques (Minard, John Snow, Nightingale, etc);-
Data Visualization;Illustration vs. Photorealism in data visualization.;-
Data Visualization;Basic data types and corresponding visualizations (multidimensional, trees, graphs, time, etc).;-
JavaScript Front-end Frameworks;What a JavaScript framework for front-end development is.;-
JavaScript Front-end Frameworks;Why you would use a JavaScript framework like Vue.js.;-
JavaScript Front-end Frameworks;What the relationship between the view and the model is in a framework like Vue.js.;-
JavaScript Front-end Frameworks;A basic idea of the syntax for writing Vue.js templates;-
History of Interactive Computing;What the development of interactive computing was motivated by;-
History of Interactive Computing;How interaction with early computers happened and how it evolved;-
History of Interactive Computing;When some of the ideas we now take for granted were first presented (pointing, hypertext, collaborative editing, video communication);-
History of Interactive Computing;Where the personal computer was invented and what the vision that drove the development was;-
History of Interactive Computing;What the WIMP paradigm is and when was it was introduced;-
History of Interactive Computing;When was the Web was invented and for what;-
History of Interactive Computing;What kind of phases interaction with computers can be characterized by;-
Canvas and WebGL;What the stroke, region and pixel model for 2D graphics are;-
Canvas and WebGL;What the canvas element is and what it is used for;-
Canvas and WebGL;How to draw 2D graphics on the canvas;-
Canvas and WebGL;How the canvas element can be used for 3D graphics. I will not test you in the details.;-
